hời hợt, nông cạn
bẩn thỉu, dơ dáy
thần diệu, thần kỳ
ảm đạm, u ám
tối mịt, tối om
thần diệu, tuyệt diệu
thanh thoát, thư thái
dị thường, kỳ dị
đứng tuổi, luống tuổi
mảnh dẻ, mảnh khảnh
chính yếu, cốt yếu
đìu hiu, quạnh hiu
nồng cháy, nồng nàn
thanh tĩnh, thanh vắng
hiểm yếu, trọng yếu
bóng lộn, bóng nhoáng
bất nghĩa, bội bạc
rủi, xui
tột bậc, tột độ
lả lướt, thướt tha
gầy, ốm
êm ả, yên ả
bền vững, vững bền
ngào ngạt, ngát
tai hại, nguy hại
ầm, rầm
khoáng đạt, phóng khoáng
tướt, sượt
tròn trịa, tròn trĩnh
mềm, mềm dẻo
quái quỉ, quái quỷ
ồn ào, ầm ĩ
bình yên, yên lành
giảo quyệt, quỉ quyệt
cần thiết, cấp thiết
bại, liệt
dại, điên
nổi tiếng, nức tiếng
mỡ, mỡ màng
trống, trống không
chóng, nhanh
cồng kềnh, kềnh càng
ranh, tinh ma
độ lượng, rộng lượng
bát ngát, mênh mông
chua ngoa, ngoa ngoắt
cô độc, đơn độc
gớm ghiếc, gớm guốc
thông thoáng, thoáng
tẹo, tí ti
thần diệu, thần kì
liên tiếp, liên tục
lơ đãng, lơ đễnh
đồng chất, đồng tính
vất vả, nặng nhọc
dong dỏng, thon thả
tươm, tướp
trống không, trống trơn
tuyệt vời, đại
